id,nom,region,nb_bv,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,blancs_nombre,blancs_pct,source_page
1,"ABOUDE, ATTOBROU, GUEESSIGUIE, GRAND-MORIE, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-PREFECTURE, AGBOVILLE SOUS-PREFECTURE","AGNEBY-TIASSA",144,52106,14070,27.0,388,13682,76,0.56,1
2,AGBOVILLE COMMUNE,"AGNEBY-TIASSA",133,48710,12821,26.32,317,12504,81,0.65,1
3,AZAGUIE COMMUNE ET SOUS-PREFECTURE,"AGNEBY-TIASSA",44,15515,5174,33.35,73,5101,24,0.47,1
4,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES","AGNEBY-TIASSA",72,23466,7650,32.6,241,7409,49,0.66,1
5,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES","AGNEBY-TIASSA",102,37720,10768,28.55,347,10421,134,1.29,2
6,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES","AGNEBY-TIASSA",94,31758,9221,29.04,283,8938,72,0.81,2
7,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES","AGNEBY-TIASSA",123,39362,16841,42.78,518,16323,118,0.72,2
8,"PACOBO ET TAABO, COMMUNES ET SOUS-PREFECTURES","AGNEBY-TIASSA",68,23159,7576,32.71,399,7177,64,0.89,2
9,"BOOKO, BOROTOU, MAHANDOUGOU ET NIOKOSSO, COMMUNES ET SOUS-PREFECTURES","BAFING",77,17626,11919,67.62,59,11860,158,1.33,3
10,"KORO, COMMUNE ET SOUS-PREFECTURE","BAFING",42,13092,6583,50.28,117,6466,74,1.14,3
11,"GBELO, GOUEKAN, KOONAN, OUANINOU, SABOUDOUGOU ET SANTA, COMMUNES ET SOUS-PREFECTURES","BAFING",106,25316,15353,60.65,215,15138,208,1.37,3
12,"DIOMAN, FOUNGBESSO ET GUINTEGUELA, COMMUNES ET SOUS-PREFECTURES, TOUBA, SOUS PREFECTURE","BAFING",96,21299,13342,62.64,196,13146,141,1.07,3
13,"TOUBA, COMMUNE","BAFING",47,14962,7151,47.79,54,7097,75,1.06,3
14,"BAYA, KASSERE ET SIEMPURGO, COMMUNES ET SOUS-PREFECTURES","BAGOUE",63,19315,12802,66.28,330,12472,204,1.64,3
15,"BOUNDIALI ET GANAONI, COMMUNES ET SOUS-PREFECTURES","BAGOUE",106,36892,36846,99.88,0,36846,0,0.0,3
16,"BLESSEGUE ET KOUTO, COMMUNES ET SOUS-PREFECTURES","BAGOUE",59,19903,11808,59.33,70,11738,215,1.83,3
17,"GBON, KOLIA ET SIANHALA, COMMUNES ET SOUS-PREFECTURES","BAGOUE",88,31360,20373,64.96,183,20190,378,1.87,3
18,"DEBETE, KANAKONO, PAPARA ET TENGRELA, COMMUNES ET SOUS-PREFECTURES","BAGOUE",109,36904,22247,60.28,221,22026,197,0.89,3
19,"BOLI, DIDIEVI, MOLONOU-BLE ET TIE-NDIEKRO, COMMUNES ET SOUS-PREFECTURES","BELIER",129,36304,11536,31.78,421,11115,138,1.24,4
20,"LOMOKANKRO, MOLONOU, TLEBISSOU ET YAKPABO-SAKASSOU, COMMUNES ET SOUS-PREFECTURES","BELIER",147,42781,14778,34.54,537,14241,134,0.94,4
21,"TOUMODI, COMMUNE","BELIER",84,31946,9783,30.62,338,9445,57,0.6,4
22,"ANGODA, BONIKRO, DJEKANOU, KPOUEBO, KOKUMBO, COMMUNES ET SOUS-PREFECTURES, TOUMODI, SOUS-PREFECTURE","BELIER",139,43279,12775,29.52,556,12219,128,1.05,4
23,"BOUANDOUGOU ET TIENINGBOUE, COMMUNES ET SOUS-PREFECTURES","BERE",95,25590,14752,57.65,187,14565,237,1.63,4
24,"DIANRA ET DIARRA-VILLAGE, COMMUNES ET SOUS-PREFECTURES","BERE",88,26729,16599,62.1,291,16308,378,2.32,4
25,"MANKONO, COMMUNE ET SOUS-PREFECTURE","BERE",73,23860,12104,50.73,144,11960,138,1.15,4
26,"MARANDALLAH ET SARHALA, COMMUNES ET SOUS-PREFECTURES","BERE",78,21935,11771,53.66,130,11641,195,1.68,4
27,"KONGASSO ET KOUNAHIRI, COMMUNES ET SOUS-PREFECTURES","BERE",84,24391,10680,43.79,352,10328,224,2.17,4
28,"BOUKO ET BOUNA, COMMUNES ET SOUS-PREFECTURES","BOUNKANI",89,26581,14195,53.4,169,14026,283,2.02,4
29,"ONDEFIDOUO ET YOUNDOUO, COMMUNES ET SOUS-PREFECTURES","BOUNKANI",43,11091,7346,66.23,99,7247,209,2.88,5
30,"DANOA, DOROPO, KALAMON ET NIAMOUE, COMMUNES ET SOUS-PREFECTURES","BOUNKANI",67,19827,10300,51.95,163,10137,328,3.24,5
31,"BOGOFA, KAPIN, KOUTOUBA, NASSIAN ET SOMINASSE, COMMUNES ET SOUS-PREFECTURES","BOUNKANI",76,21508,14236,66.19,266,13970,178,1.27,5
32,"GOGO, TEHINI ET TOUGBO, COMMUNES ET SOUS-PREFECTURES","BOUNKANI",45,10547,5885,55.8,87,5798,160,2.76,5
33,"BLOLEQUIN, DIBOKE, DOKE, TINHOU ET ZEAGLO, COMMUNES ET SOUS-PREFECTURES","CAVALLY",115,34438,11735,34.08,558,11177,135,1.21,5
34,"BEDY-GOAZON, KAADE ET NIAZAHON, COMMUNES ET SOUS-PREFECTURES, GUIGLO, SOUS-PREFECTURE","CAVALLY",58,16418,6438,39.21,189,6249,70,1.12,5
35,"GUIGLO, COMMUNE","CAVALLY",95,35868,7312,20.39,252,7060,67,0.95,5
36,"TAI ET ZAGNE, COMMUNES ET SOUS-PREFECTURES","CAVALLY",67,23648,7238,30.61,250,6988,63,0.9,6
37,"BAKOUBLI, MEO, NEZOBLY, PEHE, TIOBLY ET TOULEPLEU, COMMUNES ET SOUS-PREFECTURES","CAVALLY",84,22722,11201,49.3,581,10620,115,1.08,6
38,"ABOBO, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",1058,438021,107134,24.46,2055,105079,1214,1.16,6
39,"ADJAME, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",284,118995,14608,12.28,419,14189,148,1.04,6
40,"ATTECOUBE, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",250,103500,22760,21.99,382,22378,272,1.22,6
41,"COCODY, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",667,279785,28279,10.11,501,27778,241,0.87,7
42,"KOUMASSI, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",429,176954,33090,18.7,853,32237,328,1.02,7
43,"MARCORY, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",268,112183,26325,23.47,873,25452,197,0.77,7
44,"PLATEAU, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",228,97933,22944,23.43,998,21946,181,0.82,7
45,"PORT-BOUET, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",352,145545,24059,16.53,994,23965,272,1.13,7
46,"TREICHVILLE, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",151,63505,10658,16.78,106,10552,64,0.61,8
47,"YOPOUGON, COMMUNE","DISTRICT AUTONOME D'ABIDJAN",1320,555901,73989,13.31,2055,71934,707,0.98,8
48,"ANYAMA ET BROFODOUME, COMMUNES ET SOUS-PREFECTURE","DISTRICT AUTONOME D'ABIDJAN",279,107529,22823,21.22,597,22226,235,1.06,8
49,"BINGERVILLE, COMMUNE ET SOUS-PREFECTURE","DISTRICT AUTONOME D'ABIDJAN",180,68611,15096,22.0,224,14872,62,0.42,9
50,"SONGON, COMMUNE ET SOUS-PREFECTURE","DISTRICT AUTONOME D'ABIDJAN",122,43864,33793,77.04,281,33512,193,0.58,9
51,"ATIEGOUKAKRO ET LOLOBO, COMMUNES ET SOUS-PREFECTURES","DISTRICT AUTONOME DE YAMOSSOUKRO",61,22039,7804,35.41,219,7585,93,1.23,9
52,"KOSSOU, COMMUNE ET SOUS-PREFECTURE, YAMOUSSOUKRO, SOUS-PREFECTURE","DISTRICT AUTONOME DE YAMOSSOUKRO",62,19294,5120,26.54,174,4946,75,1.52,9
53,"YAMOUSSOUKRO,COMMUNE","DISTRICT AUTONOME DE YAMOSSOUKRO",288,118151,36304,30.73,756,35548,327,0.92,10
54,"GOULIA, TIENKO, MAHANDIANA-SOKOURANI ET KIMBIRILA-NORD, COMMUNES ET SOUS-PREFECTURES","FOLON",98,30154,21695,71.95,296,21399,422,1.97,10
55,"KANASSO, MINIGNAN ET SOKORO, COMMUNES ET SOUS-PREFECTURES","FOLON",60,19524,12753,65.32,144,12609,121,0.96,10
56,"ANDO-KEKRENOU, BEOUMI ET KONDROBO, COMMUNES ET SOUS-PREFECTURES","GBEKE",129,39082,15791,40.4,718,15073,166,1.1,10
57,"BODOKRO, LOLOBO ET NGUESSANKRO, COMMUNES ET SOUS-PREFECTURES","GBEKE",76,20187,7420,36.76,236,7184,78,1.09,10
58,"BOTRO ET KROFOINSOU, COMMUNES ET SOUS-PREFECTURES","GBEKE",64,15712,6698,42.63,231,6467,56,0.87,10
59,"DIABO ET LANGUIBONOU, COMMUNES ET SOUS-PREFECTURES","GBEKE",108,27040,10747,39.74,363,10384,147,1.42,10
60,"BOUAKE, VILLE","GBEKE",710,277859,114172,41.09,1375,112797,1179,1.05,10
61,"BOUNDA, BROBO ET MAMINI, COMMUNES ET SOUS-PREFECTURES, BOUAKE, SOUS-PREFECTURE","GBEKE",136,29385,11859,40.36,511,11348,143,1.26,11
62,"DJEBONOUA, COMMUNE ET SOUS-PREFECTURE","GBEKE",53,13760,5286,38.42,173,5113,59,1.15,11
63,"AYAKOU-SRAN, DIBRI-ASRIKRO, SAKASSOU ET TOUMODI-SAKASSOU, COMMUNES ET SOUS-PREFECTURES","GBEKE",143,38024,11752,30.91,377,11375,163,1.43,11
64,"DAKPADOU ET SAGO, COMMUNES ET SOUS-PREFECTURES","GBOKLE",71,19602,6919,35.3,108,6811,118,1.73,11
65,"GRIHIRI, LOBAKUYA, MEDON ET SANDRA, COMMUNES ET SOUS-PREFECTURES","GBOKLE",104,29913,7502,25.08,189,7313,61,0.83,11
66,"DAHIRI, FRESCO ET GBAGBAM, COMMUNES ET SOUS-PREFECTURES","GBOKLE",82,19869,6546,32.95,155,6391,57,0.89,11
69,"DOUGROUPALEGNOA, DOUKOUYO, GNAGBODOUGNOA ET SERIHO, COMMUNE ET SOUS-PREFECTURE","GOH",129,36390,10519,28.91,451,10068,159,1.58,13
70,"GAGNOA, COMMUNE","GOH",210,83356,11738,14.08,292,11446,100,0.87,13
71,"DIEGONEFLA ET TONLA, COMMUNE ET SOUS-PREFECTURE","GOH",101,31994,10995,34.37,265,10730,95,0.89,13
72,"GUEPAHOUO ET OUME, COMMUNE ET SOUS-PREFECTURE","GOH",165,46572,11867,25.48,334,11533,95,0.82,13
73,"APPIMANDOUM, BONDOUKOU ET PINDA-BOROKO, COMMUNES ET SOUS-PREFECTURES","GOH",155,52876,17219,32.56,394,16825,212,1.26,14
74,"BONDO, LAODI-BA, SAPLI-SEPINGO, TAOUDI ET YEZIMALA, COMMUNES ET SOUS-PREFECTURES","GOH",122,35843,18753,52.32,403,18350,339,1.85,14
75,"GOUMERE ET TABAGNE, COMMUNES ET SOUS-PREFECTURES","GOH",63,17425,9493,54.48,376,9117,124,1.36,14
76,"SOROBANGO ET TAGADI, COMMUNES ET SOUS-PREFECTURES","GOH",52,16336,9847,60.28,162,9685,117,1.21,14
77,"BOAHIA ET KOUASSI-DATEKRO, COMMUNES ET SOUS-PREFECTURES","GOH",52,13055,7563,57.89,195,7368,78,1.06,14
78,"KOKOMIAN, TANKESSE ET TIENKOIKRO, COMMUNES ET SOUS-PREFECTURES","GONTOUGO",67,19298,8901,46.59,505,8486,72,0.85,15
79,"KOUN-FAO, COMMUNE ET SOUS-PREFECTURE","GONTOUGO",47,15315,7579,49.49,218,7361,45,0.61,15
80,"BANDAKAGNI-TOMORA, DIMANDOUGOU, SANDEGUE ET YOROBODI, COMMUNES ET SOUS-PREFECTURES","GONTOUGO",63,19968,10862,54.4,37,10825,82,0.76,15
81,"AMANVI, DIAMBA, TANDA ET TCHEDIO, COMMUNES ET SOUS-PREFECTURES","GONTOUGO",141,39059,21861,55.97,501,21360,117,0.55,15
82,"ASSUEFRY, KOUASSIA-NIAGUINI ET TRANSUA, COMMUNES ET SOUS-PREFECTURES","GONTOUGO",102,30356,15766,51.94,305,15461,118,0.76,15
83,"DABOU, LOPOU ET TOUPAH, COMMUNES ET SOUS-PREFECTURES","GRANDS PONTS",226,82680,18971,22.95,401,18570,170,0.92,16
84,"AHOUANOU, BACANDA, EBONOU, GRAND-LAHOU ET TOUKOUZOU, COMMUNES ET SOUS-PREFECTURES","GRANDS PONTS",145,39303,11713,29.8,289,11424,91,0.8,16
85,"ATOUTOU ET JACQUEVILLE, COMMUNES ET SOUS-PREFECTURES","GRANDS PONTS",86,28167,8826,31.33,192,8634,70,0.81,16
86,"BANGOLO, GOHOUO-ZAGNA, KAHIN-ZARABAON ET ZOU, COMMUNES ET SOUS-PREFECTURES","GUEMON",114,38004,13853,36.45,257,13596,152,1.12,16
87,"BEOUE-ZIBIAO,BLENIME,DIEOUZON,GUINGLO-TAHOUKE ET ZEO, COMMUNES ET SOUS-PREFECTURES","GUEMON",84,24148,9809,40.62,357,9452,198,2.09,16
88,"BAGOHOU, GBAPLEU ET GUEZON, COMMUNES ET SOUS-PREFECTURES","GUEMON",84,26419,11837,44.8,202,11635,228,1.96,17
89,"DUEKOUE, COMMUNE","GUEMON",135,51242,12507,24.41,218,12289,127,1.03,17
90,"DUEKOUE,SOUS-PREFECTURE ET GUEHIEBLY,COMMUNES ET SOUS-PREFECTURE","GUEMON",48,15092,6652,44.08,180,6472,117,1.81,17
91,"FACOLY,GUEZON,KOUA,SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES","GUEMON",86,25531,8572,33.57,189,8383,111,1.32,17
92,"KOUIBLY,NIDROU,OUYABLY-GNONDROU ET TOTRODROU, COMMUNE ET SOUS-PREFECTURES","GUEMON",94,30990,10715,34.58,550,10165,117,1.15,17
93,"BASSAWA, SATAMA-SOKORO ET SATAMA-SOKOURA, COMMUNES ET SOUS-PREFECTURES","HAMBOL",73,19028,10798,56.75,187,10611,123,1.16,18
94,"DABAKALA, SOKALA-SOBARA, TENDENE-BAMBARASSO ET YAOSSEDOUGOU, COMMUNES ET SOUS-PREFECTURES","HAMBOL",108,28370,16909,59.6,253,16656,174,1.04,18
95,"BONIEREDOUGOU ET FOUMBOILO, COMMUNES ET SOUS-PREFECTURES","HAMBOL",82,22014,11652,52.93,295,11357,175,1.54,18
96,"FRONAN, KATIOLA ET TIMBE, COMMUNES ET SOUS-PREFECTURES","HAMBOL",128,45033,17667,39.23,396,17271,271,1.57,18
97,"ARIKOKAHA, NIAKARAMANDOUGOU ET TORTIYA, COMMUNES ET SOUS-PREFECTURES","HAMBOL",81,27757,12576,45.31,103,12473,160,1.28,18
98,"BADIKAHAN, NIEDEKAHA ET TAIFIRE, COMMUNES ET SOUS-PREFECTURES","HAMBOL",74,23601,23389,99.1,44,23345,16,0.07,18
99,"BEDIALA, GADOUAN ET GONATE, COMMUNES ET SOUS-PREFECTURES","HAUT-SASSANDRA",147,41499,12590,30.34,457,12133,146,1.2,18
100,"DALOA, VILLE ET SOUS-PREFECTURE","HAUT-SASSANDRA",358,129515,27394,21.15,401,26893,265,0.98,18
101,"GBOGUHE ET ZAHIBO, COMMUNES ET SOUS-PREFECTURES","HAUT-SASSANDRA",103,24051,10915,45.38,256,10659,122,1.14,18
102,"BOGUEDIA, ISSIA ET TAPEGUIA, COMMUNES ET SOUS-PREFECTURES","HAUT-SASSANDRA",166,52889,13588,25.69,447,13141,130,0.99,18
103,"IBOGUHE ET NAMANE, COMMUNES ET SOUS-PREFECTURES","HAUT-SASSANDRA",68,19888,6218,31.27,156,6062,76,1.25,19
